customer_id,recency,frequency,monetary,segments
12346,325,1,77183.6,Low Value
12347,1,7,4310.0,High Value
12348,74,4,1797.24,Regular
12349,18,1,1757.55,Low Value
12350,309,1,334.4,Low Value
12352,35,8,2506.04,Regular
12353,203,1,89.0,Low Value
12354,231,1,1079.4,Low Value
12355,213,1,459.4,Low Value
12356,22,3,2811.43,Regular
12357,32,1,6207.67,Low Value
12358,1,2,1168.06,Regular
12359,57,4,6372.58,Regular
12360,51,3,2662.06,Regular
12361,286,1,189.9,Low Value
12362,2,10,5226.23,High Value
12363,109,2,552.0,Regular
12364,7,4,1313.1,Regular
12365,290,2,641.38,Regular
12367,3,1,168.9,Low Value
12370,50,4,3545.69,Regular
12371,44,2,1887.96,Regular
12372,71,3,1298.04,Regular
12373,310,1,364.6,Low Value
12374,24,1,742.93,Low Value
12375,10,2,457.5,Regular
12377,314,2,1628.12,Regular
12378,129,1,4008.62,Low Value
12379,81,2,852.24,Regular
12380,21,4,2724.81,Regular
12381,4,5,1845.31,High Value
12383,184,5,1850.56,Regular
12384,28,2,585.27,Regular
12386,337,2,401.9,Regular
12388,15,6,2780.66,High Value
12390,79,1,549.84,Low Value
12391,21,1,460.89,Low Value
12393,71,4,1582.6,Regular
12394,63,2,1272.48,Regular
12395,18,12,3018.63,High Value
12397,35,2,2409.9,Regular
12398,45,1,1635.66,Low Value
12399,118,4,1108.65,Regular
12401,302,1,84.3,Low Value
12402,322,1,225.6,Low Value
12403,49,1,427.7,Low Value
12405,148,1,1710.39,Low Value
12406,21,2,3415.3,Regular
12407,49,5,1708.12,Regular
12408,32,5,2888.55,Regular
12409,78,3,11072.67,Regular
12410,308,2,693.33,Regular
12412,74,3,1226.88,Regular
12413,66,3,758.1,Regular
12414,216,3,562.41,Regular
12415,23,21,124914.53,High Value
12417,2,9,3649.1,High Value
12418,112,1,668.58,Low Value
12420,63,1,600.39,Low Value
12421,15,4,807.04,Regular
12422,95,3,803.56,Regular
12423,0,8,1859.31,High Value
12424,162,2,1760.96,Regular
12425,77,1,777.2,Low Value
12426,194,1,582.73,Low Value
12427,21,3,825.8,Regular
12428,25,9,7956.46,High Value
12429,8,4,3750.4,Regular
12430,42,1,256.4,Low Value
12431,35,15,6487.45,Regular
12432,42,5,5059.32,Regular
12433,0,7,13375.87,High Value
12434,84,2,806.14,Regular
12435,79,2,7829.89,Regular
12436,99,1,509.01,Low Value
12437,1,18,4951.41,High Value
12438,13,2,2906.85,Regular
12441,366,1,173.55,Low Value
12442,2,1,172.06,Low Value
12444,20,5,5005.46,High Value
12445,21,1,133.4,Low Value
12446,57,1,1002.31,Low Value
12447,242,1,476.49,Low Value
12448,43,1,449.45,Low Value
12449,21,4,4067.29,Regular
12450,155,2,197.88,Regular
12451,10,5,9035.52,High Value
12452,16,2,430.57,Regular
12453,133,1,707.09,Low Value
12454,55,1,3528.34,Low Value
12455,72,6,2466.86,Regular
12456,43,3,3181.04,Regular
12457,65,7,2363.23,Regular
12458,70,2,947.4,Regular
12461,93,2,826.88,Regular
12462,18,2,1189.59,Regular
12463,52,4,1344.78,Regular
12464,9,8,1212.05,High Value
12465,16,2,742.19,Regular
12468,187,2,729.54,Regular
12471,1,30,19824.05,High Value
12472,31,7,6572.11,Regular
12473,28,5,3938.55,High Value
12474,16,18,7375.79,High Value
12475,53,1,723.38,Low Value
12476,15,11,6816.42,High Value
12477,22,6,13219.74,High Value
12478,3,1,680.99,Low Value
12479,10,1,527.2,Low Value
12480,27,4,3281.63,Regular
12481,22,10,5596.32,High Value
12483,16,8,2484.98,High Value
12484,32,6,4541.72,Regular
12488,9,3,1298.66,Regular
12489,335,1,334.93,Low Value
12490,4,10,5417.93,High Value
12491,38,1,460.4,Low Value
12492,62,2,263.21,Regular
12493,165,2,433.74,Regular
12494,15,7,1246.1,High Value
12497,81,1,1043.1,Low Value
12498,20,3,403.7,Regular
12500,22,11,4257.82,High Value
12501,336,1,2169.39,Low Value
12502,95,5,3723.87,Regular
12504,17,2,482.05,Regular
12506,232,1,73.5,Low Value
12507,133,3,1304.81,Regular
12508,25,2,398.27,Regular
12509,283,1,176.5,Low Value
12510,142,2,982.57,Regular
12512,65,2,138.03,Regular
12513,112,1,612.29,Low Value
12514,266,1,1017.68,Low Value
12515,352,1,383.7,Low Value
12516,77,2,1312.06,Regular
12517,27,5,2502.84,High Value
12518,0,5,2056.89,High Value
12519,63,1,340.84,Low Value
12520,78,5,2634.26,Regular
12521,142,1,599.68,Low Value
12522,38,2,192.72,Regular
12523,18,11,1789.77,High Value
12524,8,8,4485.72,High Value
12526,0,3,1316.66,Regular
12527,81,3,348.71,Regular
12528,8,6,1933.48,High Value
12530,59,4,1662.28,Regular
12531,14,1,125.22,Low Value
12532,29,1,349.83,Low Value
12534,130,1,1089.18,Low Value
12535,91,2,716.35,Regular
12536,42,3,12601.83,Regular
12538,28,1,363.95,Low Value
12539,21,4,5568.35,Regular
12540,19,17,13400.24,High Value
12541,29,3,981.18,Regular
12544,35,1,372.7,Low Value
12545,74,2,1000.39,Regular
12546,46,2,1161.5,Regular
12547,197,2,207.8,Regular
12548,165,1,95.2,Low Value
12550,78,1,964.83,Low Value
12551,357,1,168.0,Low Value
12552,38,2,437.82,Regular
12553,7,10,3692.28,High Value
12556,49,2,603.71,Regular
12557,15,5,11990.96,High Value
12558,7,1,269.96,Low Value
12559,310,2,561.71,Regular
12560,4,3,2134.01,Regular
12561,302,1,238.85,Low Value
12562,7,7,3781.74,High Value
12564,260,1,456.9,Low Value
12565,288,1,145.92,Low Value
12566,85,1,351.65,Low Value
12567,22,10,9401.28,High Value
12569,1,32,4124.69,High Value
12571,39,2,519.61,Regular
12572,8,2,1020.42,Regular
12573,226,1,160.54,Low Value
12574,315,1,218.45,Low Value
12576,35,5,1315.83,Regular
12577,34,3,657.8,Regular
12578,20,2,2794.51,Regular
12579,77,1,440.42,Low Value
12580,246,1,415.7,Low Value
12581,39,1,197.71,Low Value
12582,238,2,511.36,Regular
12583,2,15,7281.38,High Value
12584,3,9,2338.15,High Value
12585,233,2,2040.1,Regular
12586,16,1,196.94,Low Value
12587,7,1,144.0,Low Value
12588,38,1,214.9,Low Value
12589,28,2,646.68,Regular
12590,210,2,9864.26,Regular
12591,316,1,452.85,Low Value
12592,91,2,437.6,Regular
12593,108,3,418.1,Regular
12594,37,10,3338.22,Regular
12596,50,2,618.27,Regular
12597,18,4,3811.22,Regular
12598,9,8,3023.08,High Value
12599,28,7,1032.58,High Value
12600,28,10,2599.04,High Value
12601,189,5,577.06,Regular
12602,58,1,153.12,Low Value
12603,21,1,739.2,Low Value
12604,78,2,254.18,Regular
12607,59,1,1579.51,Low Value
12609,77,3,1126.85,Regular
12610,22,5,2099.54,High Value
12611,51,1,1193.32,Low Value
12612,73,1,704.04,Low Value
12613,56,5,3344.38,Regular
12614,277,1,315.6,Low Value
12615,1,4,2291.19,Regular
12616,94,2,713.3,Regular
12617,28,1,355.53,Low Value
12618,21,1,177.31,Low Value
12619,15,9,3641.24,High Value
12620,14,3,1339.41,Regular
12621,1,20,13689.67,High Value
12622,231,1,180.1,Low Value
12623,275,1,305.1,Low Value
12624,105,2,641.13,Regular
12625,211,2,2683.82,Regular
12626,22,9,6620.48,High Value
12627,10,7,4478.53,High Value
12628,3,3,786.46,Regular
12630,9,2,1270.88,Regular
12631,56,1,640.5,Low Value
12633,58,4,2163.98,Regular
12635,89,2,1689.18,Regular
12637,66,8,6021.9,Regular
12638,32,1,671.69,Low Value
12639,238,1,486.1,Low Value
12640,23,3,1174.58,Regular
12641,114,1,185.9,Low Value
12642,24,3,1013.26,Regular
12643,127,6,3344.64,Regular
12644,129,1,477.91,Low Value
12645,33,4,1775.18,Regular
12646,4,2,1346.97,Regular
12647,21,12,3722.82,High Value
12648,154,1,318.05,Low Value
12649,106,3,623.51,Regular
12650,2,1,314.44,Low Value
12651,334,1,114.0,Low Value
12652,330,1,919.98,Low Value
12653,148,2,2209.85,Regular
12654,10,5,601.98,High Value
12656,16,5,4051.17,High Value
12657,10,4,1643.18,Regular
12658,18,1,686.05,Low Value
12659,29,1,91.68,Low Value
12660,10,1,245.1,Low Value
12662,0,11,3849.78,High Value
12664,7,9,4881.88,High Value
12665,324,1,63.0,Low Value
12667,57,1,620.13,Low Value
12668,11,4,3807.15,Regular
12669,150,3,2744.03,Regular
12670,9,5,2996.05,High Value
12672,329,1,225.9,Low Value
12673,4,2,610.52,Regular
12674,38,4,1970.6,Regular
12676,24,6,1331.39,High Value
12678,41,12,17628.46,Regular
12679,58,4,1113.02,Regular
12680,0,4,862.81,Regular
12681,14,22,13787.54,High Value
12682,3,31,12288.22,High Value
12683,3,15,8476.57,High Value
12684,7,7,2283.63,High Value
12685,27,6,2863.08,High Value
12686,371,1,89.14,Low Value
12688,113,1,4873.81,Low Value
12689,25,2,1247.61,Regular
12690,205,1,389.01,Low Value
12691,27,6,1035.8,High Value
12693,126,4,855.91,Regular
12694,69,2,869.67,Regular
12695,6,4,582.1,Regular
12697,28,3,957.59,Regular
12700,7,4,4939.99,Regular
12701,79,2,797.71,Regular
12702,19,1,219.0,Low Value
12703,70,1,283.55,Low Value
12704,6,8,2340.84,High Value
12705,14,9,6868.29,High Value
12707,291,1,603.42,Low Value
12708,29,10,2712.91,High Value
12709,14,15,9736.52,High Value
12710,96,3,1149.02,Regular
12712,28,13,4396.13,High Value
12713,0,1,848.55,Low Value
12714,8,5,4708.86,High Value
12715,105,1,353.86,Low Value
12716,3,2,1053.49,Regular
12717,150,2,1030.98,Regular
12718,70,1,238.25,Low Value
12719,4,2,644.95,Regular
12720,2,25,5781.73,High Value
12721,31,6,2656.13,Regular
12722,84,4,997.63,Regular
12723,3,5,725.07,High Value
12724,4,4,1031.41,Regular
12725,370,1,427.8,Low Value
12726,27,7,2609.1,High Value
12727,10,7,3980.7,High Value
12728,70,4,836.33,Regular
12729,113,1,453.01,Low Value
12731,23,12,18895.91,High Value
12732,179,1,236.26,Low Value
12733,233,1,383.95,Low Value
12734,352,1,110.4,Low Value
12735,314,2,779.57,Regular
12736,332,1,234.0,Low Value
12738,371,1,155.35,Low Value
12739,77,2,1013.04,Regular
12740,63,1,427.6,Low Value
12743,133,2,546.43,Regular
12744,51,7,21279.29,Regular
12747,1,11,4196.01,High Value
12748,0,210,33719.73,High Value
12749,3,5,4090.88,High Value
12750,128,1,275.88,Low Value
12752,80,1,4366.78,Low Value
12753,22,6,21429.39,High Value
12754,235,3,3010.74,Regular
12755,280,2,3811.95,Regular
12756,86,1,112.08,Low Value
12757,15,13,7857.1,High Value
12758,116,2,2791.59,Regular
12759,51,3,1531.44,Regular
12762,7,2,1898.52,Regular
12763,137,2,494.08,Regular
12764,316,1,1693.88,Low Value
12766,3,7,6989.63,High Value
12769,238,1,1143.6,Low Value
12770,210,1,1351.45,Low Value
12772,59,1,892.47,Low Value
12775,16,5,1386.04,High Value
12778,19,6,822.23,High Value
12779,37,8,3981.36,Regular
12781,63,2,826.74,Regular
12782,4,5,2330.92,High Value
12783,1,6,2225.91,High Value
12784,8,2,574.42,Regular
12785,363,1,311.95,Low Value
12787,9,3,463.66,Regular
12789,64,1,91.85,Low Value
12790,191,1,324.92,Low Value
12791,373,1,192.6,Low Value
12792,256,1,400.54,Low Value
12793,334,2,545.48,Regular
12794,52,2,860.41,Regular
12795,18,1,430.48,Low Value
12797,365,1,254.03,Low Value
12798,9,3,6977.04,Regular
12802,186,1,427.58,Low Value
12808,36,3,483.65,Regular
12809,177,1,489.31,Low Value
12811,260,3,514.85,Regular
12812,44,1,229.64,Low Value
12814,101,1,125.92,Low Value
12815,147,2,1063.46,Regular
12816,95,2,572.2,Regular
12817,280,1,166.04,Low Value
12818,261,1,1542.08,Low Value
12820,2,4,942.34,Regular
12821,213,1,92.72,Low Value
12822,70,2,948.88,Regular
12823,74,5,1759.5,Regular
12824,59,1,397.12,Low Value
12826,2,7,1474.72,High Value
12827,5,3,430.15,Regular
12828,2,6,1018.71,High Value
12829,336,2,293.0,Regular
12830,37,6,6814.64,Regular
12831,261,1,215.05,Low Value
12832,31,2,383.03,Regular
12833,144,1,417.38,Low Value
12834,282,1,312.38,Low Value
12836,58,4,2612.86,Regular
12837,172,1,134.1,Low Value
12838,33,2,683.13,Regular
12839,2,14,5591.42,High Value
12840,143,4,2726.77,Regular
12841,4,25,4022.35,High Value
12842,69,2,1118.99,Regular
12843,65,8,1702.26,Regular
12844,28,2,325.96,Regular
12845,266,4,354.09,Regular
12847,21,1,871.54,Low Value
12849,30,2,1050.89,Regular
12851,96,1,135.18,Low Value
12852,294,1,311.55,Low Value
12853,134,6,1957.1,Regular
12854,78,3,1324.5,Regular
